Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
THR-00913,"3""""P400C HOOKIT GOLD DISC      """,1.72,0,0.94,1.72,WEST,WEST,"3""""P400C HOOKIT GOLD DISC      """
THR-00914,"3""""P320C HOOKIT GOLD DISC      """,1.72,0,0.94,1.72,WEST,WEST,"3""""P320C HOOKIT GOLD DISC      """
THR-02002,"400A 9"" ""X11""  WET/DRY SHEET",3.82,0,2.06,3.82,WEST,WEST,"400A 9"" ""X11""  WET/DRY SHEET"
THR-02589,2-3/4X45YD P500 STIKIT SHT.ROL,154.19,0,83.10,154.19,WEST,WEST,2-3/4X45YD P500 STIKIT SHT.ROL
THR-02593,2-3/4X45YD P240 STIKIT SHT.ROL,157.18,0,84.71,157.18,WEST,WEST,2-3/4X45YD P240 STIKIT SHT.ROL
THR-02602,"SUPER FINE 4.5""""X 5.5""""SPONGE   """,8.42,0,4.54,8.42,WEST,WEST,"SUPER FINE 4.5""""X 5.5""""SPONGE   """
THR-02604,"FINE GRIT 4.5""""X 5.5""""SPONGE    """,8.42,11,4.85,8.42,WEST,WEST,"FINE GRIT 4.5""""X 5.5""""SPONGE    """
THR-02606,"MEDIUM GRIT 4.5""""X 5.5""""SPONGE  """,8.42,0,4.54,8.42,WEST,WEST,"MEDIUM GRIT 4.5""""X 5.5""""SPONGE  """
THR-05203,5200 SEALANT WHT 88ML TUBE,32.99,4,19.92,0.00,WEST,WEST,5200 SEALANT WHT 88ML TUBE
THR-05220,5200 FAST WHT 88ML TUBE,32.28,3,17.96,32.28,WEST,WEST,5200 FAST WHT 88ML TUBE
THR-05260,4200 FAST WHT 88ML TUBE,28.09,3,15.50,28.09,WEST,WEST,4200 FAST WHT 88ML TUBE
THR-05280,4000UV FAST WHT 88ML TUBE,31.30,2,16.89,31.30,WEST,WEST,4000UV FAST WHT 88ML TUBE
THR-05710,ADAPT BUFF/POLISH PADS,41.17,3,22.18,41.17,WEST,WEST,ADAPT BUFF/POLISH PADS
THR-05752,"5/8"""" QUICK RELEASE ADAPTOR    """,141.95,1,76.50,141.95,WEST,WEST,"5/8"""" QUICK RELEASE ADAPTOR    """
THR-05753,"9"""" WOOL COMPOUNDING PAD Q/R   """,151.67,3,81.74,151.67,WEST,WEST,"9"""" WOOL COMPOUNDING PAD Q/R   """
THR-05754,"9"""" WOOL POLISHING PAD         """,103.41,4,58.99,103.41,WEST,WEST,"9"""" WOOL POLISHING PAD         """
THR-05768,"8"" HOOKIT SOFT PAD",235.80,0,127.08,235.80,WEST,WEST,"8"" HOOKIT SOFT PAD"
THR-05776,"6""""HOOKIT DISC PAD             """,135.87,0,73.22,135.87,WEST,WEST,"6""""HOOKIT DISC PAD             """
THR-05777,"6"" HOOKIT SOFT INTERFACE PAD",53.96,0,29.08,53.96,WEST,WEST,"6"" HOOKIT SOFT INTERFACE PAD"
THR-05779,"8""""HOOKIT DISC PAD             """,235.80,0,127.08,235.80,WEST,WEST,"8""""HOOKIT DISC PAD             """
THR-05801,1GAL.POLYESTER BODY FILLER,82.83,0,44.64,82.83,WEST,WEST,1GAL.POLYESTER BODY FILLER
THR-05824,710ML FLOWABLE FINISHING PUTTY,87.17,0,46.98,87.17,WEST,WEST,710ML FLOWABLE FINISHING PUTTY
THR-05846,DMS PNEUMATIC APPLICATOR,2352.86,0,1268.01,2352.86,WEST,WEST,DMS PNEUMATIC APPLICATOR
THR-05860,50 GR.DRY GUIDE COAT CARTRIDGE,113.94,0,61.41,113.94,WEST,WEST,50 GR.DRY GUIDE COAT CARTRIDGE
THR-05861,DRY GUIDE COAT KIT,164.44,0,88.62,164.44,WEST,WEST,DRY GUIDE COAT KIT
THR-05865,"6"" HOOKIT DISC PAD",110.24,0,59.41,110.24,WEST,WEST,"6"" HOOKIT DISC PAD"
THR-05907,ADHESION PROMOTER CLEAR 12OZ,120.29,0,64.83,120.29,WEST,WEST,ADHESION PROMOTER CLEAR 12OZ
THR-05928,946 ML FINESSE-IT II COMPOUND,130.83,0,70.51,130.83,WEST,WEST,946 ML FINESSE-IT II COMPOUND
THR-05954,946ML S.DUTY RUBBING COMPOUND,62.76,1,40.57,62.76,WEST,WEST,946ML S.DUTY RUBBING COMPOUND
THR-05955,4LTR. S.DUTY RUBBING COMPOUND,192.05,0,103.50,192.05,WEST,WEST,4LTR. S.DUTY RUBBING COMPOUND
THR-05973,32.OZ PERFECT IT RUBBING CMPD,100.92,1,57.57,100.92,WEST,WEST,32.OZ PERFECT IT RUBBING CMPD
THR-05975,10.5OZ PAINT BUSTER HANDCLNR,62.07,0,33.45,62.07,WEST,WEST,10.5OZ PAINT BUSTER HANDCLNR
THR-05996,32 OZ DARK  PERFECT-IT GLAZE,138.64,0,74.72,138.64,WEST,WEST,32 OZ DARK  PERFECT-IT GLAZE
THR-06-0000-30,SPEEDGLAS AUTO DARKENING FILTR,1469.07,0,791.71,1469.07,WEST,WEST,SPEEDGLAS AUTO DARKENING FILTR
THR-06-0200-30,SPEEDGLAS I/S PROTECTION PLATE,50.37,0,27.14,50.37,WEST,WEST,SPEEDGLAS I/S PROTECTION PLATE
THR-06025,4 LTR HIGH GLOSS GELCOAT CMP,225.43,0,121.49,225.43,WEST,WEST,4 LTR HIGH GLOSS GELCOAT CMP
THR-06068,946ML PERFECT-IT EX MACHNE POL,170.04,2,97.00,170.04,WEST,WEST,946ML PERFECT-IT EX MACHNE POL
