Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
1001884,BLANK PANEL COVER,6.05,0,3.26,6.05,WEST,WEST,BLANK PANEL COVER
1002015,BACK MT RACK DUAL CABLE 14,1475.80,0,795.34,1475.80,WEST,WEST,BACK MT RACK DUAL CABLE 14
1002023,STARTER MOUNTING BOLT,10.17,0,5.50,10.17,WEST,WEST,STARTER MOUNTING BOLT
1002066,1X1-1/4X4 NON-METALLIC,147.96,0,79.74,147.96,WEST,WEST,1X1-1/4X4 NON-METALLIC
1002074,DC SOCKET - 200 DOUBLE,138.46,0,74.62,138.46,WEST,WEST,DC SOCKET - 200 DOUBLE
1002082,SKI ROPE SNAP,5.34,0,2.40,5.34,WEST,WEST,SKI ROPE SNAP
1002112,3-WAY BALL VALVE,173.00,0,93.23,173.00,WEST,WEST,3-WAY BALL VALVE
1002147,160A 1-INP 2-BATT ISOL. W/CONN,464.21,0,250.17,464.21,WEST,WEST,160A 1-INP 2-BATT ISOL. W/CONN
1002163,PROPELLER 6-BLADE 110mm,189.04,0,102.49,189.04,WEST,WEST,PROPELLER 6-BLADE 110mm
1002171,102-2 ACT.4-1/4STROKE*MAILBU*,630.02,0,377.26,630.02,WEST,WEST,102-2 ACT.4-1/4STROKE*MAILBU*
1002198,SEASTAR PRO HOSE 26PR,686.04,0,457.36,686.04,WEST,WEST,SEASTAR PRO HOSE 26PR
1002201,102 XD SERIES RAM,697.56,0,417.70,697.56,WEST,WEST,102 XD SERIES RAM
1002333,WINDSHIELD HOLDER CLIPS-PR,33.25,0,17.92,33.25,WEST,WEST,WINDSHIELD HOLDER CLIPS-PR
1002368,TS-450-EF AL SOCKET END FITTNG,1692.76,0,889.91,1692.76,WEST,WEST,TS-450-EF AL SOCKET END FITTNG
1002457,HLD SWV 1 MKVI W/O SHKLS,743.03,0,556.16,743.03,WEST,WEST,HLD SWV 1 MKVI W/O SHKLS
1002465,BAYSTAR GLAND KIT COMPACT CYL,200.64,0,133.76,200.64,WEST,WEST,BAYSTAR GLAND KIT COMPACT CYL
1002511,DIAPHRM SIZE18 NITRIL8-1/16OD,217.60,0,181.33,217.60,WEST,WEST,DIAPHRM SIZE18 NITRIL8-1/16OD
1002546,PUMPKIT NITRILE SIZE18 220 SER,354.77,0,295.64,354.77,WEST,WEST,PUMPKIT NITRILE SIZE18 220 SER
1002554,SUSUKI 200HP OB CLAMP ASSEMBLY,230.39,0,124.16,230.39,WEST,WEST,SUSUKI 200HP OB CLAMP ASSEMBLY
1002716,WATER TEMP GAUGE METRIC  EURO,118.19,0,63.69,118.19,WEST,WEST,WATER TEMP GAUGE METRIC  EURO
100277,YELLOW PIGMENT 60ML,19.29,0,10.39,19.29,WEST,WEST,YELLOW PIGMENT 60ML
1004077,LOW SPD PUMP 12V,626.15,0,356.19,626.15,WEST,WEST,LOW SPD PUMP 12V
1004107,MAG SENSOR KIT,230.88,0,124.42,230.88,WEST,WEST,MAG SENSOR KIT
1004158,MOUNT FLUSH DECK SOCKT KIT/TBL,164.92,0,111.91,164.92,WEST,WEST,MOUNT FLUSH DECK SOCKT KIT/TBL
1004174,IGN SWITCH 3POS,49.82,0,26.85,49.82,WEST,WEST,IGN SWITCH 3POS
1004212,IMPELLER KIT-NEOPRENE,146.23,0,78.80,146.23,WEST,WEST,IMPELLER KIT-NEOPRENE
1004263,THREAD GATE EYE ONLY 3/8-24LH,42.17,0,21.46,42.17,WEST,WEST,THREAD GATE EYE ONLY 3/8-24LH
1004298,TWIN GAS ENGINE GPH TO 500HP,1716.74,0,1144.49,1716.74,WEST,WEST,TWIN GAS ENGINE GPH TO 500HP
1004395,57MM NARROW MASTCOLLAR BLOCK,111.06,0,83.13,111.06,WEST,WEST,57MM NARROW MASTCOLLAR BLOCK
1004468,TBKL BODY+TOGGLE 3/8-7/16PIN,152.49,0,82.18,152.49,WEST,WEST,TBKL BODY+TOGGLE 3/8-7/16PIN
1004476,HATCH 16 7/8 SQ BLK W/RNG&SCRN,870.74,0,522.44,870.74,WEST,WEST,HATCH 16 7/8 SQ BLK W/RNG&SCRN
1004484,#24 STANDARD SNAP SETTER ONLY,74.57,0,40.18,74.57,WEST,WEST,#24 STANDARD SNAP SETTER ONLY
1004565,S/S PULL-UP CLEAT 6,189.32,0,85.19,189.32,WEST,WEST,S/S PULL-UP CLEAT 6
1004581,THERMOSTAT,38.71,0,20.92,38.71,WEST,WEST,THERMOSTAT
1004778,"POWER POST 1X5/16,1X3/8STUDS",42.12,0,22.70,42.12,WEST,WEST,"POWER POST 1X5/16,1X3/8STUDS"
1004794,STAINLESS ROUND LATCH - 3 INCH,306.24,0,137.81,306.24,WEST,WEST,STAINLESS ROUND LATCH - 3 INCH
1004832,LOCK OPEN VERSION BLACK,676.58,0,506.43,676.58,WEST,WEST,LOCK OPEN VERSION BLACK
1004859,MOLDED HOSE,57.30,0,30.96,57.30,WEST,WEST,MOLDED HOSE
1004875,TERMINAL TUBER TB 1/8,46.74,0,23.79,46.74,WEST,WEST,TERMINAL TUBER TB 1/8
1004921,IMPELLER KIT-NEOPRENE,321.89,0,173.47,321.89,WEST,WEST,IMPELLER KIT-NEOPRENE
1004948,IMPELLER KIT-NEOPRENE,132.13,0,71.21,132.13,WEST,WEST,IMPELLER KIT-NEOPRENE
1004972,IMPELLER KIT-NEOPRENE,98.78,0,53.23,98.78,WEST,WEST,IMPELLER KIT-NEOPRENE
1004999,IMPELLER KIT-NITRILE,93.69,0,50.49,93.69,WEST,WEST,IMPELLER KIT-NITRILE
1005006,IMPELLER KIT-NEOPRENE,151.35,0,81.57,151.35,WEST,WEST,IMPELLER KIT-NEOPRENE
1005014,IMPELLER KIT-NEOPRENE,76.87,0,41.43,76.87,WEST,WEST,IMPELLER KIT-NEOPRENE
1005022,IMPELLER KIT-NITRILE,76.87,0,41.43,76.87,WEST,WEST,IMPELLER KIT-NITRILE
1005057,IMPELLER KIT-NITRILE,93.69,0,50.49,93.69,WEST,WEST,IMPELLER KIT-NITRILE
1005073,IMPELLER KIT-NEOPRENE,90.83,0,48.95,90.83,WEST,WEST,IMPELLER KIT-NEOPRENE
1005081,CERAMIC TILE NEWPORT DIESEL,65.32,0,42.89,65.32,WEST,WEST,CERAMIC TILE NEWPORT DIESEL
1005103,IMPELLER KIT-NEOPRENE,225.80,0,121.69,225.80,WEST,WEST,IMPELLER KIT-NEOPRENE
1005111,IMPELLER KIT,116.82,0,62.95,116.82,WEST,WEST,IMPELLER KIT
1005138,IMPELLER KIT-NEOPRENE,148.91,0,80.25,148.91,WEST,WEST,IMPELLER KIT-NEOPRENE
1005146,IMPELLER KIT-NITRILE,148.91,0,80.25,148.91,WEST,WEST,IMPELLER KIT-NITRILE
1005154,IMPELLER KIT-NITRILE,100.88,0,54.37,100.88,WEST,WEST,IMPELLER KIT-NITRILE
1005162,IMPELLER KIT-NITRILE,504.46,0,271.86,504.46,WEST,WEST,IMPELLER KIT-NITRILE
1005189,IMPELLER KIT-NEOPRENE,94.64,0,51.00,94.64,WEST,WEST,IMPELLER KIT-NEOPRENE
1005197,IMPELLER KIT-NITRILE,94.64,0,51.00,94.64,WEST,WEST,IMPELLER KIT-NITRILE
1006363,AIRHEAD ROLLINRIVER TUBE,52.84,0,28.48,52.84,WEST,WEST,AIRHEAD ROLLINRIVER TUBE
1006479,PEDESTAL PUMP 1/2FPT 11.3-GPM,1225.11,0,660.24,1225.11,WEST,WEST,PEDESTAL PUMP 1/2FPT 11.3-GPM
1006673,1-1/2 PVC FLEX HOSE CUFFS,8.27,0,4.45,8.27,WEST,WEST,1-1/2 PVC FLEX HOSE CUFFS
1006681,INVERTER 2 LABEL,4.49,0,2.69,4.49,WEST,WEST,INVERTER 2 LABEL
1006703,120/240 VOLT 60HZ,4.49,0,2.69,4.49,WEST,WEST,120/240 VOLT 60HZ
1006711,OFF LABEL,4.49,0,2.69,4.49,WEST,WEST,OFF LABEL
1006754,FENDER COVER A2,214.43,0,115.56,214.43,WEST,WEST,FENDER COVER A2
1008811,K TOILET BOWL-WHITE,426.23,0,229.71,426.23,WEST,WEST,K TOILET BOWL-WHITE
1008897,24V OIL CHANGE PUMP ONLY,844.79,0,455.27,844.79,WEST,WEST,24V OIL CHANGE PUMP ONLY
1009443,SIZE 1 GUARD FOR UNIT 1 FOIL,127.72,0,95.60,127.72,WEST,WEST,SIZE 1 GUARD FOR UNIT 1 FOIL
1014773,OIL FILTER,16.67,0,9.00,16.67,WEST,WEST,OIL FILTER
1015869,BILGE WATER/OIL SEPERATOR,280.47,0,152.06,280.47,WEST,WEST,BILGE WATER/OIL SEPERATOR
1016121,OIL SEAL,31.75,0,17.15,31.75,WEST,WEST,OIL SEAL
1021591,BUNK SLICKS,117.85,0,63.51,117.85,WEST,WEST,BUNK SLICKS
1021621,PROSAFE-2 30-AMP GALV.ISOLATOR,738.16,0,397.81,738.16,WEST,WEST,PROSAFE-2 30-AMP GALV.ISOLATOR
1021648,DECK BRUSH W/TELE.ALUM.HANDLE,106.21,0,57.24,106.21,WEST,WEST,DECK BRUSH W/TELE.ALUM.HANDLE
1021672,PRE FEEDER F/UNIT 1 CARBO FOIL,57.80,0,43.26,57.80,WEST,WEST,PRE FEEDER F/UNIT 1 CARBO FOIL
1021737,NAVIGATION ELECTRONICS LABEL,4.49,0,2.69,4.49,WEST,WEST,NAVIGATION ELECTRONICS LABEL
1021753,COMPASS LIGHT LABEL,5.33,0,3.19,5.33,WEST,WEST,COMPASS LIGHT LABEL
1021761,BATTERY 1 LABEL,5.33,0,3.19,5.33,WEST,WEST,BATTERY 1 LABEL
1021788,BATTERY 2 LABEL,5.33,0,3.19,5.33,WEST,WEST,BATTERY 2 LABEL
1021796,5/8X250PROSET+5/16X50CHAIN,1180.27,0,636.07,1180.27,WEST,WEST,5/8X250PROSET+5/16X50CHAIN
1021826,ANTI SIPHON GUARD,47.71,0,25.87,47.71,WEST,WEST,ANTI SIPHON GUARD
1021834,NAVNET3D CARRIBEAN CHART PACK,424.31,0,353.59,424.31,WEST,WEST,NAVNET3D CARRIBEAN CHART PACK
1022687,1x12SLIP STOP-BLUE,12.88,0,6.94,12.88,WEST,WEST,1x12SLIP STOP-BLUE
1022962,30PONTOON RAIL POLE & MOUNT,198.68,0,107.07,198.68,WEST,WEST,30PONTOON RAIL POLE & MOUNT
1023349,SAE 30 SYNTHETIC OIL 55-GAL,4500.82,0,2425.59,4500.82,WEST,WEST,SAE 30 SYNTHETIC OIL 55-GAL
1024159,PROP STOP COVER,61.57,0,33.18,61.57,WEST,WEST,PROP STOP COVER
1025139,NAVY ANCHOR ALUM.PAINTED 10-LB,75.82,0,34.12,75.82,WEST,WEST,NAVY ANCHOR ALUM.PAINTED 10-LB
1025147,NAVY ANCHOR ALUM.PAINTED 15-LB,117.14,0,52.71,117.14,WEST,WEST,NAVY ANCHOR ALUM.PAINTED 15-LB
1025155,NAVY ANCHOR ALUM.PAINTED 20-LB,151.60,0,68.22,151.60,WEST,WEST,NAVY ANCHOR ALUM.PAINTED 20-LB
1025163,NAVY ANCHOR ALUM.PAINTED 28-LB,205.36,0,92.41,205.36,WEST,WEST,NAVY ANCHOR ALUM.PAINTED 28-LB
1029673,S/S T ROPE EYE 7.5   26.0x15.7,40.16,0,21.64,40.16,WEST,WEST,S/S T ROPE EYE 7.5   26.0x15.7
1031279,S/S SWAGE ROPE TERM 1/8 WIRE,53.06,0,28.59,53.06,WEST,WEST,S/S SWAGE ROPE TERM 1/8 WIRE
1034138,1/2OD.X100CLEAR SPIRAL WRAP,315.88,0,170.23,315.88,WEST,WEST,1/2OD.X100CLEAR SPIRAL WRAP
1034154,3/8ID.X 25BLACK SPLIT LOOM,13.58,0,7.32,13.58,WEST,WEST,3/8ID.X 25BLACK SPLIT LOOM
1034162,1/2ID.X 25BLACK SPLIT LOOM,14.90,0,8.03,14.90,WEST,WEST,1/2ID.X 25BLACK SPLIT LOOM
1034189,3/4ID.X 25BLACK SPLIT LOOM,20.47,0,11.03,20.47,WEST,WEST,3/4ID.X 25BLACK SPLIT LOOM
1041142,MAXSEA PROFESSIONAL SOFTWARE,6916.25,0,5763.54,6916.25,WEST,WEST,MAXSEA PROFESSIONAL SOFTWARE
104353,SPRING FOR KTOILET,76.02,0,40.97,76.02,WEST,WEST,SPRING FOR KTOILET
104655,BOTTOM PAINT ROLLER,7.48,0,4.03,7.48,WEST,WEST,BOTTOM PAINT ROLLER
1047507,SNATCH BLOCK MAX 12MM ROPE,454.36,0,239.42,454.36,WEST,WEST,SNATCH BLOCK MAX 12MM ROPE
1047787,LWR TUBE 0-39CARBO RACE FOIL,87.69,0,65.64,87.69,WEST,WEST,LWR TUBE 0-39CARBO RACE FOIL
1052144,LIGHTS AFT CABIN LABEL,4.49,0,2.69,4.49,WEST,WEST,LIGHTS AFT CABIN LABEL
1053132,OIL PRESSURE GAUGE 0-80PSI,62.74,0,37.57,62.74,WEST,WEST,OIL PRESSURE GAUGE 0-80PSI
1053671,FOILKIT ONLY FOR 7000.9M,922.12,0,690.21,922.12,WEST,WEST,FOILKIT ONLY FOR 7000.9M
1056026,CARBO FOIL KIT,330.26,0,247.20,330.26,WEST,WEST,CARBO FOIL KIT
105627,BOTTOM PAINT ROLLER,9.92,0,5.35,9.92,WEST,WEST,BOTTOM PAINT ROLLER
1056301,OIL PRESSURE 0-80PSI,79.88,0,43.05,79.88,WEST,WEST,OIL PRESSURE 0-80PSI
1060481,CHAIN PAIL DISP.WHEEL SET OF 4,49.90,0,29.88,49.90,WEST,WEST,CHAIN PAIL DISP.WHEEL SET OF 4
1060503,1X12 RED RESCUE TAPE,16.77,0,9.04,16.77,WEST,WEST,1X12 RED RESCUE TAPE
1060511,1X12 WHITE RESCUE TAPE,16.77,0,9.04,16.77,WEST,WEST,1X12 WHITE RESCUE TAPE
1060538,1X12 CLEAR RESCUE TAPE,16.77,0,9.04,16.77,WEST,WEST,1X12 CLEAR RESCUE TAPE
1060546,1X12 YELLOW RESCUE TAPE,16.77,0,9.04,16.77,WEST,WEST,1X12 YELLOW RESCUE TAPE
1060554,24 ROLL ASSORTED DISPLAY,402.20,0,216.76,402.20,WEST,WEST,24 ROLL ASSORTED DISPLAY
1060767,STRNR VERT DUPLEX 2MONEL BSKT,10789.84,0,5814.88,10789.84,WEST,WEST,STRNR VERT DUPLEX 2MONEL BSKT
1060791,TFXTREME 3300 CNTRL CABLE 6,119.97,0,64.66,119.97,WEST,WEST,TFXTREME 3300 CNTRL CABLE 6
1060805,TFXTREME 3300 CNTRL CABLE 7,122.46,0,66.00,122.46,WEST,WEST,TFXTREME 3300 CNTRL CABLE 7
1060813,TFXTREME 3300 CNTRL CABLE 8,125.47,0,67.62,125.47,WEST,WEST,TFXTREME 3300 CNTRL CABLE 8
1060821,TFXTREME 3300 CNTRL CABLE 9,128.54,0,69.27,128.54,WEST,WEST,TFXTREME 3300 CNTRL CABLE 9
1060848,TFXTREME 3300 CNTRL CABLE 10,131.51,0,70.87,131.51,WEST,WEST,TFXTREME 3300 CNTRL CABLE 10
1060856,TFXTREME 3300 CNTRL CABLE 11,135.02,0,72.76,135.02,WEST,WEST,TFXTREME 3300 CNTRL CABLE 11
