MARISOL MARINE & YACHT,,,,,,,,,,,,,,,,,
,,,,,,Inventory Price List,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OEM,,Category,Item No.,,Description,,,Bin Location,,,Min/Max,On Hand,List,Cost,Sell ,Extended Sell,
,,,,,,,,,,,,,,,,,
WEST,,WEST,AAL-20271,,SMOKE DETECT HRD WIRE 12/24,,,,,,0 / 0,0.00,208.60 ,112.42 ,208.60 ,0.00 ,
WEST,,WEST,AAL-20275,,SMOKE WARN PNL 12V,,,,,,0 / 0,0.00,43.40 ,23.39 ,43.40 ,0.00 ,
WEST,,WEST,AAL-20278,,FIRE/SMOKE PNL 12V,,,,,,0 / 0,0.00,93.45 ,50.36 ,93.45 ,0.00 ,
WEST,,WEST,AAL-20286,,BLUE STROBE/SIREN 105DB 12V,,,,,,0 / 0,0.00,98.45 ,53.05 ,98.45 ,0.00 ,
WEST,,WEST,AAL-20295,,AUTO SYS MNTR6W DETCTRS12V SGL,,,,,,0 / 0,0.00,615.75 ,331.84 ,615.75 ,0.00 ,
WEST,,WEST,AAL-20303,,AUTOSYS MNTR5W DETCTRS12V DUAL,,,,,,0 / 0,0.00,999.53 ,538.67 ,999.53 ,0.00 ,
WEST,,WEST,AAL-20315,,SINGLE ENGINE MONITOR 24V,,,,,,0 / 0,0.00,123.01 ,69.98 ,123.01 ,0.00 ,
WEST,,WEST,AAL-20320,,ENG MONITER-2 PROBE SGL 12V,,,,,,0 / 0,0.00,165.21 ,89.04 ,165.21 ,0.00 ,
WEST,,WEST,AAL-20343,,"SMART BILGE MONITOR, 12V      """,,,,,,0 / 0,0.00,262.31 ,141.36 ,262.31 ,0.00 ,
WEST,,WEST,AAL-20346,,SMART BILGE ALARM 12V,,,,,,0 / 0,0.00,155.98 ,84.06 ,155.98 ,0.00 ,
WEST,,WEST,AAL-20352,,COOL WTRFLO ALARM PNL 12V SNGL,,,,,,0 / 0,0.00,71.76 ,38.67 ,71.76 ,0.00 ,
WEST,,WEST,AAL-20353,,ENG RAW WATER FLOW WARN PANEL,,,,,,0 / 0,0.00,81.76 ,44.06 ,81.76 ,0.00 ,
WEST,,WEST,AAL-20355,,COOL WTRFLO ALARM PNL 12V DUAL,,,,,,0 / 0,0.00,85.10 ,45.86 ,85.10 ,0.00 ,
WEST,,WEST,AAL-20356,,ENG RAW WTRFLO WARN PANEL DUAL,,,,,,0 / 0,0.00,95.11 ,51.25 ,95.11 ,0.00 ,
WEST,,WEST,AAL-20358,,COOL WTRFLO/EXHST TEMP PNL SGL,,,,,,0 / 0,0.00,91.78 ,49.46 ,91.78 ,0.00 ,
WEST,,WEST,AAL-20359,,COOL WTRFLO/EXHST TMP PNL DUAL,,,,,,0 / 0,0.00,108.47 ,58.45 ,108.47 ,0.00 ,
WEST,,WEST,AAL-20360,,BILGE WARN PNL 2 COMPART,,,,,,0 / 0,0.00,101.79 ,54.85 ,101.79 ,0.00 ,
WEST,,WEST,AAL-20363,,BILGE WARN PNL 5 COMPART,,,,,,0 / 0,0.00,116.82 ,62.95 ,116.82 ,0.00 ,
WEST,,WEST,AAL-20364,,BILGE WARN PANEL 6 COMPART,,,,,,0 / 0,0.00,121.81 ,65.65 ,121.81 ,0.00 ,
WEST,,WEST,AAL-20374,,BLG SWCH HD W/3-WAY PNL 12V30A,,,,,,0 / 0,0.00,113.48 ,61.15 ,113.48 ,0.00 ,
WEST,,WEST,AAL-20385,,BLG EXCESV PUMPNG ALERT PNL12V,,,,,,0 / 0,0.00,148.51 ,80.04 ,148.51 ,0.00 ,
WEST,,WEST,ABA-13511,,#11 SS 304 MINI CLAMP,,,,,,0 / 0,5.00,4.63 ,2.49 ,4.63 ,23.15 ,
